Recipe Name,source,link,minutes_to_prepare,cuisine,Ingredients: Produce,Ingredients: Spices and Seasonings,Ingredients: Condiments,Ingredients: Pasta and Rice,Ingredients: Beverages,Ingredients: Ethnic Foods,Ingredients: Bakery/Bread,Ingredients: Frozen,Ingredients: Refrigerated,Ingredients: Alcoholic Beverages,Ingredients: Pantry,Ingredients: Dairy
Homemade Garlic and Basil French Fries,Jen West,http://www.pinkwhen.com/homemade-french-fries/,45,American,"basil,potatoes",garlic powder,,,,,,,,,"vegetable oil,flour",
Red Kidney Bean Jambalaya,Lisa's Vegetarian Kitchen,http://foodandspice.blogspot.com/2016/05/red-kidney-bean-jambalaya.html,45,Creole,"carrots,celery,eggplant,garlic,green beans,red bell pepper,red onion,tomatoes","celery seed,dried marjoram,dried thyme,ground pepper,ground sage,liquid smoke",sriracha,"brown rice,dried kidney beans",,,,,,,"vegetable stock,olive oil",
Broccoli and Chickpea Rice Salad,Lisa's Vegetarian Kitchen,http://foodandspice.blogspot.com/2016/07/broccoli-and-chickpea-rice-salad.html,45,,"broccoli florets,fresh parsley,garlic,green onions,juice of lemon","ground pepper,red pepper flakes",dijon mustard,"brown rice,dried chickpeas",pineapple juice,tamari soy sauce,,,,,"sun-dried tomatoes,almonds,olive oil",
Hummus and Za'atar,Lisa's Vegetarian Kitchen,http://foodandspice.blogspot.com/2016/03/hummus-with-zaatar.html,45,Middle Eastern,"garlic,juice of lemon,pine nuts",paprika,,dried chickpeas,,"tahini,za'atar",,,,,olive oil,
Easy Homemade Rice and Beans,,http://cooking2perfection.blogspot.com/2012/11/easy-homemade-rice-and-beans.html,35,,onion,"chili powder,cumin,ground pepper",hot sauce,rice,water,,,,,,"canned tomatoes,canned black beans,olive oil",
Broccolini Quinoa Pilaf,Pick Fresh Foods,http://pickfreshfoods.com/broccolini-quinoa-pilaf/,30,Mediterranean,"broccolini,garlic clove,onion",,,quinoa,,,,,,,"walnuts,vegetable broth,olive oil",
Finger Foods: Frittata Muffins #incredibleEGG,Full Belly Sisters,http://fullbellysisters.blogspot.com/2014/05/finger-foods-frittata-muffins.html,45,,"broccoli,chives,orange pepper,tomato",,,,,,,,,,,"eggs shredded cheddar cheese,cream"
Moroccan chickpea and lentil stew,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/C6DXLHJH/moroccan-chickpea-and-lentil-stew,30,,"broccoli,carrots,celery stalks,fresh cilantro,lemon juice","ground cinnamon,ground cumin,ground turmeric,paprika",,"cooked lentils,couscous,tomato paste",water,,,,,,"canned chickpeas,olive oil",
Tomato and lentil soup,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/5V4PTMT2/tomato-and-lentil-soup,45,,"onion,garlic,carrots,bay leaf,parsley",,,lentils,water,,,,,,"canned tomatoes,olive oil",
Instant Pot Quinoa Grain Bowl,Jen West,https://www.pinkwhen.com/instant-pot-quinoa-grain-bowl/,13,,"avocado,broccoli,cherry tomatoes,clementine,kale,sprouts",,,quinoa,,,,,,,stock,
Roasted Cauliflower Detox Bowl with Tahini Sauce,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/6J6KLYH6/roasted-cauliflower-detox-bowl-with-tahini-sauce,50,,"kale leaves,garlic,cabbage,avocado,a cauliflower,garlic roasted","ground cumin,garden cress",,quinoa,"cashews soaked overnight in water,water",tahini,,,,,olive oil,
Gujarati Dry Mung Bean Curry,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/G6ZJW56S/gujarati-dry-mung-bean-curry,45,Indian,"chillies,garlic,lemon juice,tomato","cinnamon powder,coriander,cumin seeds,mustard seeds,turmeric",,,,"curry leaves,mung beans",,,,,"baking powder sugar,sunflower oil",
Falafel Burgers,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/FBWMX8MY/falafel-burgers,45,American,"fresh parsley,garlic,juice of lemon,red onion","chili powder,coriander,cumin,turmeric",,,water,tahini,pita,,,,"vegetable oil,canned garbanzo beans,flour",
Delicious Creamy Lentils and Chestnuts Soup,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/6NB227RW/delicious-creamy-lentils-and-chestnuts-soup,30,,"bay leaf,chestnuts,garlic,onion,roma tomatoes,potatoes",,,lentils,,,,,,,olive oil,
Mushroom Goat Cheese Baked Eggs,Full Belly Sisters,http://fullbellysisters.blogspot.com/2016/04/mushroom-goat-cheese-baked-eggs.html,45,,"garlic clove,herbes de provence,mushrooms,shallots",,,,,ghee,crusty bread,,,,,eggs goat cheese
